id,name,releasedate,recommendationcount,priceinitial,abouttext,background
38,Multiwinia,Sep 19 2008,340,9.99,Long ago a computer scientist called Dr Sepulveda created a beautiful digital world existing entirely within a computer network of his own invention. This world was called Darwinia and it was inhabited by a peaceful law-abiding digital life-form called the Darwinians.                    As the years wore on however the Darwinians became ever more aggressive and autonomous. They divided into factions squabbling over Darwinias limited natural resources. Tribes began to roam the fractal voids hell bent on each others destruction drunk on power and unswerving in the pursuit of world supremacy.                    Far and wide they became known as the Multiwinians...                    Welcome to Multiwinia: Survival of the Flattest  the ultimate retro-arcade multiplayer experience! Choose from a selection of six spectacular action-packed game modes set in one of the most beautiful game environs you will ever set eyes on.                    Challenge your opponent to a game of stick-man slaughter and watch digital-war unfold as your Multiwinian army struggles to complete a chosen task faster and better than your rivals. Its fast its furious and only the flattest will survive!,http://cdn.akamai.steamstatic.com/steam/apps/1530/page_bg_generated_v6b.jpg?t=1447351430
39,Dangerous Waters,Feb 7 2006,112,14.99,S.C.S. - Dangerous Waters allows you total control over multiple air surface and submarine platforms in a modern-day naval environment. Take direct control of individual crew stations and also plan and execute combined arms naval strategies from a top-down Commanders Eye perspective.,http://cdn.akamai.steamstatic.com/steam/apps/1600/page_bg_generated_v6b.jpg?t=1447350835
40,Space Empires IV Deluxe,Feb 7 2006,0,9.99,The award-winning Space Empires IV Deluxe is the latest edition in the Space Empires series. A grand strategy title in the space 4X (explore expand exploit and exterminate) genre Space Empires has already found a place in the heart of strategy gamers everywhere.Research technology design new ships wage war on a tactical level put down rebellions meet and greet new species and much more. All the level and campaign design tools are included allowing anyone to become a part of the expansive Space Empires Mod community.,http://cdn.akamai.steamstatic.com/steam/apps/1610/page_bg_generated_v6b.jpg?t=1447350836
41,Jagged Alliance 2,Jul 6 2006,0,19.99,The small country of Arulco has been taken over by a merciless dictator - and only you can loosen the iron grip! Jagged Alliance 2 Gold Pack immerses you into an elaborate role-playing universe where you will interact with more than 150 characters recruit your own band of soldiers and create your own custom mercenary to win back Arulco - not once but twice! The perfect blend of strategy role playing and tactical combat!,http://cdn.akamai.steamstatic.com/steam/apps/1620/page_bg_generated_v6b.jpg?t=1447350856
42,Disciples II: Rise of the Elves,Jul 6 2006,299,6.49,The award-winning series Disciples introduced a milestone in the games very successful history; the introduction of a new race: The Elves. The Elven Race added a new dimension to the game and added countless hours of gameplay.   Now that series has expanded further with Disciples II: Rise Of The Elves. This version features all of the campaigns found in the original and a brand new campaign that continues the storyline of the Elven Race. It also includes 14 new skirmish maps to test hone your skills.   Key features       New campaign that continues the Elven Storyline     14 new skirmish maps to test gamers skills     5 playable races to choose from; the Empire; the Undead Hordes the Mountain Clans the Legions of the Damned and the Elven Alliance     The Elven tech tree allows players to choose between Noble or Wild Elves increasing replayability     Over 200 individually animated unit types and over 100 different spells     Scenario editor to create your own adventures     Battle friends and enemies in multiplayer over LAN Internet or Hot-Seat play,http://cdn.akamai.steamstatic.com/steam/apps/1630/page_bg_generated_v6b.jpg?t=1447350856
43,Disciples II: Gallean's Return,Jul 6 2006,400,6.49,Disciples II: Galleans Return is a compilation edition that includes the base game Disciples II: Dark Prophecy plus the two standalone expansions Disciples II: Guardians of the Light and Disciples II: Servants of the Dark.  Disciples II: Guardians of the Light is a stand-alone expansion that lets you dive into the fantastical world of Disciples II as either the Empire or the Mountain Clans. The Empire is decaying from within as self-proclaimed rulers struggle for control of the now vacant throne while a cruel Inquisition sweeps across the human lands causing rebellion and misery. Meanwhile the Clans recovering from their near-destruction begin to reunite their tribes. They have received divine instructions and now seek to uncover an ancient ritual that will let them communicate with their god Wotan. Disciples II: Servants of the Dark is a stand-alone expansion that brings you into the never-ending quest for supremacy as either the Undead Hordes or the Legions of the Damned. On the dark side the Legions of the Damned enact a plan to spread Bethrezens plague across Nevendaar. They sense the threat brought about by the rebirth of the Elven god and will stop at nothing to steal this power for their own purposes. Perhaps most pivotal to the conflict however is Mortis and her army of Undead Hordes. After all the rebirth of her husband Gallean was her doing. He had rejected her for what she had become a twisted heartless beast. Now she would teach her mate a lesson... one that would scar his people for eternity... Features  Random map generator Multiple resolution support High level unit AI support Improved computer AI Improved editor Improved UI Auto-Resolve Combat mode Player can capture capitals Direct 3D support for improved performance Enhanced chat interface Support for large maps 120x120 and 144x144 All the updates for Disciples II: Dark Prophecy 2 new high-level mini campaigns and original Disciples II campaigns 16 skirmish/multiplayer maps including 10 never-before-seen maps 3 new special characters New capital backgrounds New battle backgrounds Four new music tracks Exclusive portfolio containing original concept art and sketches,http://cdn.akamai.steamstatic.com/steam/apps/1640/page_bg_generated_v6b.jpg?t=1447350862
44,Iron Warriors: T-72 Tank Command,Jul 26 2006,210,4.99,The most devastating mechanized armor to ever roll onto a battlefield is brought to life in Iron Warriors: T72-Tank Command. This epic combat simulator allows the player to command an entire platoon of tanks and ALL associated support units or assume the role of ANY member in a complete tank crew!The realism of both the physics and 3D engine creates game environments where real life armored tactic become the only way to survive on the todays modern battlefield!Three of Russias most devastating and powerful tanks ever produced are  yours to control; the T - 34-85 T-55A and T-72B!Roll these mechanized monsters through 18 campaigns 2 training missions 5 single player missions and 3 multiplayer (LAN) missions. Master your tank and crew and you will soon take command of other units that round out your mechanized platoon.Cooperative multi-player support allows gamers to team up as a tank crew and play different positions within the same tank! Roll into battle on some of the most realistic terrain maps ever modeled; real weather destructible terrain and detailed models. Ballistics models take into effect: wind shell aerodynamic flight characteristics barrel wear and droop!Powerful mission editor map editor and structure editor included; modify existing content or create your own.,http://cdn.akamai.steamstatic.com/steam/apps/1670/page_bg_generated_v6b.jpg?t=1447350863
45,Space Empires V,Oct 16 2006,204,14.99,Space Empires V is the latest edition in the Space Empires series. This new chapter completely updates the UI and takes the player into a real-time rendered 3D universe. Watch space battles played out in glorious detail and realistic effects. Expand Explore Exploit and Exterminate in a huge living breathing galaxy. New features abound with political alliances between multiple empires a top-down ship design system a hexagonal movement grid and many more. Due to player demand the game is completely moddable and even adds a scriptable AI system to the mix. Space Empires V boldly takes the next step in the genre of space strategy24 bit 3D real-time rendered graphics. Detailed Tactical Combat (and a combat simulator to test your designs!). New vehicle types and sizes: Ships Bases Freighters Fighters Mines Satellites Troops Drones and Weapons Platforms. Ability to completely design and customize all of your vehicles. Large Galaxy: 100 solar systems with 15 planets each. Huge Technology Tree: Thousands of tech levels with hundreds of components and facilities. Completely customizable game graphics: Create your own planets stars vehicles etc. Completely customizable AI players: Create your own AI players with unique traits styles and speech. 14 unique races to play or customize (or just create your own!) Randomly generated map for every game (or load an existing map). Complete game customization allowed by players (mods).,http://cdn.akamai.steamstatic.com/steam/apps/1690/page_bg_generated_v6b.jpg?t=1447350865
46,Arx Fatalis,Apr 3 2007,389,4.99,This critically acclaimed first-person RPG takes the player on an amazing journey into the fantasy world of Arx. The game mixes intelligent story with immersive and actual medieval surroundings. Arx Fatalis allows the player to feel that all his actions have a direct consequence on those around him.The goal of the game is to destroy the secret cult of Akbaa the god of destruction. As a player you must prevent the return of such a cruel creature to the physical world. Should you fail Akbaa is bound to impose its terror upon the world of Arx.You will become the hero of an underground world - with weapons spells and magical items to defend against goblins trolls rat-men and other vicious opponents.Besides brute force stealth and the onscreen gesture based magic system are the three alternative ways to succeed.   Using the mouse flaming runes can be drawn in mid-air.  A combination of these gestures can create powerful magic spells that will protect you or empower you to defeat opponents and pursue the quest.,http://cdn.akamai.steamstatic.com/steam/apps/1700/page_bg_generated_v6b.jpg?t=1447350944
47,Source Filmmaker,Jul 10 2012,10079,0,The Source Filmmaker (SFM) is the movie-making tool built and used by us here at Valve to make movies inside the Source game engine. Because the SFM uses the same assets as the game anything that exists in the game can be used in the movie and vice versa. By utilizing the hardware rendering power of a modern gaming PC the SFM allows storytellers to work in a what-you-see-is-what-you-get environment so they can iterate in the context of what it will feel like for the final audience.To get started just click the button above to install. The SFM includes all the base game assets from Team Fortress 2 along with assets from some of the first Meet the Team short films.ResourcesOnce youre up and running here are some general resources for finding help and learning how to get the most out of the Source Filmmaker.Official Wiki DocumentationFrequently Asked QuestionsVideo TutorialsCommunity DiscussionsHow to file bug reports,http://cdn.akamai.steamstatic.com/steam/apps/1840/page_bg_generated_v6b.jpg?t=1447356104
48,Earth 2160,Apr 1 2006,412,4.99,After the destruction of the EARTH in 2150 the leaders of the Eurasian Dynasty escaped on board an evacuation fleet. Now they are fighting for the survival of the human species. Their base is one large building comprising of smaller variable parts. The Lunar Corporation is already on the Red Planet and has to fight to find a new base and home after the destruction of the Earth. LC buildings are built one on top of the other similar to a skyscraper but with one big difference - they have the ability to defy all the laws of gravity to move quickly to a new location.The UCS (United Civilized States) machines evolved from the UCS battle machines. During the long flight to Mars the computer decided to kill all human survivors and then initiated a plan to conquer the solar system with its own mechanical army. The Aliens - alien renegades were imprisoned a long ago deep in the unknown history of Mars. In 2160 the landing of the UCS ships awoke them from their long sleep...GAME FEATURES:4 playable parties with different basic technologies and abilitiesEach party consists of more than 13 basic buildings and more than 13 basic units4 single player campaigns each with 7 missionsSkirmish mode with 10 maps4 Multiplayer modes with 10 mapsRealistic formable and multi-textured terrain12 virtual agents with special abilitiesMultiplayer matches for up to 8 players per matchEarthC (programming language) SDK for Mod teamsRich musical score consists of 29 dynamically varyied tracksIncludes Superstorm Platinum and Titanium Map Pack,http://cdn.akamai.steamstatic.com/steam/apps/1900/page_bg_generated_v6b.jpg?t=1455631423
49,Two Worlds: Epic Edition,Apr 30 2009,2399,9.99,... 300 years after Aziraal has been banished a brother and sister are drawn into the conflict which has flared up between the Orcs and the free world. Kyra the heros younger sister suddenly disappears in mysterious circumstances.<>To all intents and purposes youre an unscrupulous bounty hunter and mercenary - but the search for your sister takes you back to your roots. At the beginning of your epic adventure a mercenary task takes you to the far north - but youre also following up a mysterious lead at the same time - the first clue youve been given since Kyras disappearance. You get a shock during a meeting with the delegates of a dark Brotherhood - your sisters kidnappers are indeed after your familys relict. Whether theres any truth in your family being chosen ones or not the others obviously believe it - and if you ever want to see Kyra alive again youll have to act swiftly...Includes the original Two Worlds plus the add-on Tainted BloodOVER 90 NEW QUESTS: Journey even deeper into the world of Antaloor with over 90 new quests and eight new multiplayer mapsSoundtrack by Grammy Award Winner Harold FaltermeyerFEATURES:STUPENDOUS LANDSCAPES: in a fantasy world where every inhabitant leads a separate dynamic life with realistic daily routines your deeds will determine the fate of the strife-torn land of Antaloor. PLAYING FREEDOM: Two Worlds is not for those who dont like making decisions because youll often have to take one side or the other  an intelligent networked reputation system for guilds and secret societies makes sure of that.KNIGHT THIEF MAGE OR ALCHEMIST: spectacular dynamically-choreographed fights on foot or at full gallop. An absorbing alchemy system for creating individual potions and power-ups provides diversification - and carrying out break-ins in Sneak mode will have your nerves jangling! If this still isnt enough try the sophisticated magic system...INTUITIVE INTERFACE AND INDIVIDUAL DEVELOPMENT OF ATTRIBUTES: you can experiment with all the character attributes and develop your skills as and when you like. An elaborate inventory system ensures that you always have a clear overview  no matter how hot the action gets. MASSIVE MULTIPLAYER INCLUDED: bustling towns are the trading centers and meeting points for several hundred players. Self-created characters fight gripping PvsP duels in Arena mode  or solve a series of exciting quests as allies.UPDATED GAME ENGINE: The brand new 1.6 engine update now included!,http://cdn.akamai.steamstatic.com/steam/apps/1930/page_bg_generated_v6b.jpg?t=1464111430
50,Dark Messiah of Might & Magic Single Player,Oct 25 2006,2776,9.99,Discover a new breed of Action-RPG game powered by an enhanced version of the Source(tm) Engine by Valve. Set in the Might & Magic(r) universe players will experience ferocious combat in a dark and immersive fantasy environment.  Swords Stealth Sorcery. Choose your way to kill.Cutting-edge technology: Experience an enhanced version of the famous Source(tm) Engine created by Valve. Discover the fresh perspective of a view with complete body awareness realistic movements physics rendering and a complete first-person melee combat system in a fantasy setting. Never-ending action: Challenge the forces of evil in 12 huge levels and learn to master over 30 weapons and an arsenal of devastating spells.Evolve your character: Extend your gameplay experience without being limited to a single discipline. Learn powerful new spells and attacks using Dark Messiahs unique Skill Evolution System as you progress through the game.Revolutionary multiplayer mode: Get ready to battle with up to 32 players in the revolutionary Crusade mode which will enable players to gain experience and new skills across dynamic online campaigns. Enlist with the humans or the undead and choose among five complementary character classes. (c) 2006 Ubisoft Entertainment.  All Rights Reserved.  Dark Messiah Might and Magic Ubisoft and the Ubisoft logo are trademarks of Ubisoft Entertainment in the U.S. and/or other countries.  Developed by Arkane Studios.,http://cdn.akamai.steamstatic.com/steam/apps/2100/page_bg_generated_v6b.jpg?t=1447350903
51,Dark Messiah of Might & Magic Multi-Player,Oct 25 2006,2777,9.99,Discover a new breed of Action-RPG game powered by an enhanced version of the Source(tm) Engine by Valve. Set in the Might & Magic(r) universe players will experience ferocious combat in a dark and immersive fantasy environment.  Swords Stealth Sorcery. Choose your way to kill.Cutting-edge technology: Experience an enhanced version of the famous Source(tm) Engine created by Valve. Discover the fresh perspective of a view with complete body awareness realistic movements physics rendering and a complete first-person melee combat system in a fantasy setting. Never-ending action: Challenge the forces of evil in 12 huge levels and learn to master over 30 weapons and an arsenal of devastating spells.Evolve your character: Extend your gameplay experience without being limited to a single discipline. Learn powerful new spells and attacks using Dark Messiahs unique Skill Evolution System as you progress through the game.Revolutionary multiplayer mode: Get ready to battle with up to 32 players in the revolutionary Crusade mode which will enable players to gain experience and new skills across dynamic online campaigns. Enlist with the humans or the undead and choose among five complementary character classes. (c) 2006 Ubisoft Entertainment.  All Rights Reserved.  Dark Messiah Might and Magic Ubisoft and the Ubisoft logo are trademarks of Ubisoft Entertainment in the U.S. and/or other countries.  Developed by Arkane Studios.,http://cdn.akamai.steamstatic.com/steam/apps/2100/page_bg_generated_v6b.jpg?t=1447350903
52,Quake III Arena,Aug 3 2007,656,14.99,Welcome to the Arena where high-ranking warriors are transformed into spineless mush. Abandoning every ounce of common sense and any trace of doubt you lunge onto a stage of harrowing landscapes and veiled abysses. Your new environment rejects you with lava pits and atmospheric hazards as legions of foes surround you testing the gut reaction that brought you here in the first place. Your new mantra: Fight or be finished.,http://cdn.akamai.steamstatic.com/steam/apps/2200/page_bg_generated_v6b.jpg?t=1447351095
53,Quake 4,Aug 4 2011,509,14.99,In a desperate war for Earths survival against an unrelenting enemy the only way to defeat them is to become one of them. Armed with advanced weaponry and vehicles and aided by an elite squad of marines you take the battle to the heart of the Strogg home planet and become earths only hope for victory.Key features:Built on id Tech 4 (the Doom 3 engine)Sequel to the Quake 2 storylineBattle outdoors using tanks and walkersFight with the support of an elite squadCompete online in fast action arena-style multiplayer,http://cdn.akamai.steamstatic.com/steam/apps/2210/page_bg_generated_v6b.jpg?t=1447351610
54,Wolfenstein 3D,Aug 3 2007,1061,4.99,Maybe it was the fact that people got to blow away Nazis. Maybe it was the sheer challenge of it all. For whatever reason Wolfenstein 3D and Spear of Destiny pioneered the first-person shooter genre and brought its legendary creators id Software worldwide notoriety and numerous awards. In fact The Computer Gaming World Hall of Fame recognized Wolfenstein 3D as helping to shape the overall direction of the computer gaming industry.,http://cdn.akamai.steamstatic.com/steam/apps/2270/page_bg_generated_v6b.jpg?t=1447351096
55,The Ultimate DOOM,Aug 3 2007,2000,4.99,The complete megahit game that set the world afire. Plus All-New Episode IV: Thy Flesh Consumed.The demons came and the marines died. Except one. You are the last defense against these hell-spawned hordes. Prepare for the most intense mutant-laden blood-splattered action ever! The texture-mapped virtual world is so real you dont just play DOOM - you live it.The Ultimate DOOM takes you beyond anything youve ever experienced. First you get all three original episodes - thats 27 levels of awesome explosive excitement. Then it really blows you away with an all-new episode: Thy Flesh Consumed.Now youre dead meat. Just when you think youre getting pretty good at DOOM you get hit with Perfect Hatred Sever the Wicked and seven other expert levels never seen before! Theyre so incredibly tough the first 27 levels will seem like a walk in the park!,http://cdn.akamai.steamstatic.com/steam/apps/2280/page_bg_generated_v6b.jpg?t=1447351097
56,Final DOOM,Aug 3 2007,389,4.99,Two New 32-Level DOOM II Episodes.Evilution:Far from earth the UAC recommenced their experiments on on of the moons of Jupiter. A spaceship mistaken for a supply vexxel on radar hovered above the base. Hideous demons poured out blanketing the base with death. All your comrades were quickly slaughtered or zombified. This time its not about survival. Its about revenge.The Plutonia Experiment:Every effort has been made by the nations top scientists to close the seven interdimensional Gates of Hell but one portal remains open. Alone you must infiltrate the ravaged complex defeat the demon Gatekeeper and seal the last Hell-hole before the undead are prepared to once again take over the world.,http://cdn.akamai.steamstatic.com/steam/apps/2290/page_bg_generated_v6b.jpg?t=1447351098
57,DOOM II: Hell on Earth,Aug 3 2007,1279,4.99,Let the Obsession begin. Again.This time the entire forces of the netherworld have overrun Earth. To save her you must descend into the stygian depths of Hell itself!Battle mightier nastier deadlier demons and monsters. Use more powerful weapons. Survive more mind-blowing explosions and more of the bloodiest fiercest most awesome blastfest ever!Play DOOM II solo with two people over a modem or with up to four players over a LAN (supporting IPX protocol). No matter which way you choose get ready for adrenaline-pumping action-packed excitement thats sure to give your heart a real workout.,http://cdn.akamai.steamstatic.com/steam/apps/2300/page_bg_generated_v6b.jpg?t=1449848674
58,Quake,Aug 3 2007,1266,4.99,Rage through 32 single player levels and 6 deathmatch levels of sheer terror and fully immersive sound and lighting. Arm yourself against the cannibalistic Ogre fiendish Vore and indestructible Schambler using lethal nails fierce Thunderbolts and abominable Rocket and Grenade Launchers.,http://cdn.akamai.steamstatic.com/steam/apps/2310/page_bg_generated_v6b.jpg?t=1447351100
59,Quake II,Aug 3 2007,660,4.99,Shortly after landing on an alien surface you learn that hundreds of your men have been reduced to just a few. Now you must fight your way through heavily fortified military installations lower the citys defenses and shut down the enemys war machine. Only then will the fate of humanity be known.,http://cdn.akamai.steamstatic.com/steam/apps/2320/page_bg_generated_v6b.jpg?t=1447351101
60,Quake II: The Reckoning,Aug 3 2007,0,2.99,You are part of an elite commando force that must infiltrate a hostile alien cite. Once inside you must scour industrial landscapes crawl through waterways and air ducts navigate treacherous canyons teeming with vicious mutants stow away on an alien spacecraft and destroy the enemys secret moon base.,http://cdn.akamai.steamstatic.com/steam/apps/2330/page_bg_generated_v6b.jpg?t=1447351102
61,Quake II: Ground Zero,Aug 3 2007,0,2.99,Take out the Big Gun sounded simple enough except the Strogg were waiting. You and a few marines like you are the lucky ones. Youve made it down in one piece and are still able to contact the fleet. The Gravity Well the Stroggs newest weapon in its arsenal against mankind is operational. With the fleet around Stroggos 5% of ground forces surviving and that number dwindling by the second your orders have changed: free your comrades. Destroy the Gravity Well.New Enemies - The Stalker Turrets Daedalus Medic Commander Carrier and the Black Widow.14 Entirely new levels and 10 new deathmatch levels.New Power-Ups - Deathmatch specific power-ups: Vengeance Sphere Hunter Sphere and Anti-matter bomb.New Weapons - The Chainsaw ETF Rifle and Plasma Beam.,http://cdn.akamai.steamstatic.com/steam/apps/2340/page_bg_generated_v6b.jpg?t=1447351102
62,Quake III: Team Arena,Aug 3 2007,0,14.99,Never before have the forces aligned. United by name and by cause The Fallen Pagans Crusaders Intruders and Stroggs must channel their power into an allied operation where teamwork is the only method of mass destruction. Four distinct games test each troops synthesis and strength to exacting degrees. Cooperation is the only course of action and war the only alternative. Soldiers once alone in their struggle now face the Arena as one.,http://cdn.akamai.steamstatic.com/steam/apps/2350/page_bg_generated_v6b.jpg?t=1447351103
63,HeXen: Beyond Heretic,Aug 3 2007,158,4.99,While you were battling the evil forces of DSparil the other Serpent Riders were busy sowing the seeds of destruction in other dimensions. One such dimension is the decaying world where Hexen takes place. A world littered with the mangled corpses of nonbelievers and inhabited by the undead followers that executed them. Only three humans &endash; a warrior a mage and a cleric &endash; have escaped the leaders vicious spell. Now these brave souls have sworn to crush the evil regime that threatens to destroy the world forever. Separated upon entering the mystical portal the three are forced to attempt on their own what they had hoped to do together: find Koraxs stronghold destroy him and restore order in the physical world.Become one of 3 heroes. Wield superhuman powers and lethal weapons.Walk. Run. Fly. Look all around. Inflict serious pain.Pillage your way through earthquakes crumbling bridges and fog.Track down powerful artifacts and cast wicked spells.Four sick individuals can wreak havoc via network two by modem.,http://cdn.akamai.steamstatic.com/steam/apps/2360/page_bg_generated_v6b.jpg?t=1447351105
64,HeXen: Deathkings of the Dark Citadel,Aug 3 2007,0,4.99,Where HeXen Ends the True Nightmare Begins. Deathkings of the Dark Citadel is the only official expansion of the original HeXen game. This add-on pack features 20 new single player levels from the original HeXen team as well as a host of new multiplayer options.Deathkings of the Dark Citadel was the first true game expansion that Raven Software ever produced. In addition to providing three new hubs for the original HeXen the Deathkings expansion was the first multiplayer game that allowed eight players to connect to a LAN simultaneously.,http://cdn.akamai.steamstatic.com/steam/apps/2370/page_bg_generated_v6b.jpg?t=1447351106
65,Heretic: Shadow of the Serpent Riders,Aug 3 2007,241,4.99,In a twisted medieval dimension undead creatures and bestial horrors have done the unthinkable--callously slaughtering your entire race. Your friends. Your family. Eliminated. But the nightmare has just begun. Wielding ungodly weapons such as the Firemace and Hellstaff and casting spells from the Tomes of Power you must seek your vengeance. Or die trying.Supports up to four players via network two by modem. Adventure through the game with a friend or crack their skull in a bloody deathmatch.Walk. Run. Fly. Look all around you even up and down.Choose from among 7 weapons (from the simple staff to the awesome Phoenix Rod).Use arcane artifacts to unleash unearthly power on unsuspecting foes.,http://cdn.akamai.steamstatic.com/steam/apps/2390/page_bg_generated_v6b.jpg?t=1447351107
66,The Ship,Jul 11 2006,5026,9.99,This package includes a tutorial The Ship Single Player which introduces you to some gameplay mechanics and storyline and The Ship Multiplayer where you can hunt and be hunted by other players.Please read our State of the Game announcement:  http://steamcommunity.com/gid/103582791430084264/announcements/detail/194000194554609687For PC gamers who enjoy multiplayer games with a bit of intelligence intrigue and ingenuity The Ship is a murder mystery alternative to traditional FPS multiplayer games.  Each player is given a Quarry to kill - and must evade their own Hunter in the process all set on board a series of 1920s art deco cruise ships.The Ship is owned by the mysterious Mr X and as one of many lucky recipients of a free ticket you arrive on board The Ship to find theres a catch to your luxury cruise.  You are coerced into a brutal Hunt to indulge Mr. Xs fantasies under threat of death for not only yourself but also your family. Your only chance to save yourself and your family is to play the Hunt and win.Combining stealthy multiplayer action and a needs system The Ship is a truly unique gaming experience.,http://cdn.akamai.steamstatic.com/steam/apps/2400/page_bg_generated_v6b.jpg?t=1466698716
67,The Ship Single Player,Nov 20 2006,706,0,For PC gamers who enjoy multiplayer games with a bit of intelligence intrigue and ingenuity The Ship is a murder mystery alternative to traditional FPS multiplayer games.  Each player is given a Quarry to kill - and must evade their own Hunter in the process all set on board a series of 1920s art deco cruise ships.The Ship is owned by the mysterious Mr X and as one of many lucky recipients of a free ticket you arrive on board The Ship to find theres a catch to your luxury cruise.  You are coerced into a brutal Hunt to indulge Mr. Xs fantasies under threat of death for not only yourself but also your family. Your only chance to save yourself and your family is to play the Hunt and win.Combining stealthy multiplayer action and a needs system The Ship is a truly unique gaming experience.This package includes a tutorial The Ship Single Player which introduces you to some gameplay mechanics and storyline and The Ship Multiplayer where you can hunt and be hunted by other players.,http://cdn.akamai.steamstatic.com/steam/apps/2420/page_bg_generated_v6b.jpg?t=1447350944
68,Bloody Good Time,Oct 29 2010,716,4.99,Congratulations youve just been cast in your first slasher movie!  Youve been given your big break by the notorious Director X. His methods have produced some of the finest grindhouse films ever committed to celluloid. Famous faces and big names are not what this director is looking for. Fresh faces are all Director X casts and with your embarrassingly empty resume youre as fresh as they come!But seven other hopefuls are also in the running so youre going to need to prove your worth if youre to hit the leading credits. Youre going to have to scratch claw and strike to slash your way to the top. This jobs going to be murder!Developed by Outerlight Bloody Good Time takes a new and irreverent approach to multiplayer shooters. The game runs on the Valves Source engine known for classic multiplayer shooters such as Half-Life and Team Fortress.Key Features:  Be a deceitful bastard! Flush your enemies in the toilet crash their heads on their plates when they eat do whatever it takes to maim and kill other competitors in nasty and unexpected ways!  Use a full arsenal of wacky weapons including guns a baseball bat a frying pan and even an exploding remote-controlled rat to transform the movie set into real mayhem!  Clash with up to 8 players online in a zany first-person shooter multiplayer experience like no other.   Choose from a variety of stereotypical B- movie characters including the bikini beach babe the stoner the creepy clown and the super jock.  From Spring Break Beach to the Horror House to the Vegas Hotel discover whats behind the Hollywood set in these unique multiplayer maps.  Developed by Outerlight best known for their work on The Ship and the Half-Life mod of the Ship. This Scottish-based developer brings a great combination of humor and quality game play to Bloody Good Time.  Running on the Valves Source engine Bloody Good Time comes from the same pedigree of classic online multiplayer shooters such as Half-Life Team Fortress and Counter-Strike.,http://cdn.akamai.steamstatic.com/steam/apps/2450/page_bg_generated_v6b.jpg?t=1447353150
69,Shadowgrounds,May 8 2006,973,6.99,Shadowgrounds breathes fresh air into the action genre with explosive combat sequences an innovative weapon upgrade system and an intriguing storyline. The adrenaline-pumping top-down gameplay and audiovisual fireworks set the scene for this new action experience which also includes single computer (split keyboard or joystick) co-op play.UPGRADE THOSE WEAPONS! Use a devastating arsenal of high-tech weaponry to dispose of the alien threat. Each weapon has multiple upgrades that maximize the carnage. Unleash the flames of the Flamethrowers Fuel Trap cause mayhem with the Grenade Launchers Poison Grenades slash and dice the monsters with the Laser Rifles Pinpoint Laser - and many more!WHAT LURKS IN THE SHADOWS? Shadowgrounds uses cutting-edge realistic lighting and glow technology to light up the battlefield and create detailed shadows producing an atmosphere of fear. But the lighting and the flashlight also affect some aliens behavior - take advantage of that and you can turn the tide in the game of fear by using your flashlight effectively.DESTRUCTIBLE ENVIRONMENT! What good are weapons and special effects if you cant wreak havoc on the environment? Shadowgrounds lets you go all-out - glass shatters ground shakes trees fall barrels explode and furniture blows to smithereens. You can use the environment to your advantage.THEYRE BIG AND NASTY! Big brutal monsters await you. Prepare to face many different bosses who will do anything to stop your journey. Theyre nasty blood-thirsty beasts but dont give in to fear - remember to use the environment and the lighting to your advantage!Upgrade weaponry with powerful modifications.Face enormous monsters in boss battles.Destructible environment allows you to wreak havoc with your arsenal.Visit many exciting locations including a secret military base and the alien-infested colony New Atlantis.Fight side-by-side with NPC allies against the massive alien hordes.Check security cameras and computer logs to investigate alien origins.Realistic lighting with gameplay effects bring the aliens out of the shadows.Enjoy horrifying sound effects and a thrilling music soundtrack made exclusively for Shadowgrounds.,http://cdn.akamai.steamstatic.com/steam/apps/2500/page_bg_generated_v6b.jpg?t=1447350843
70,Gumboy: Crazy Adventures,Dec 19 2006,0,4.99,Gumboy has fun and novel gameplay set in a richly imagined world.   With simple game controls Gumboy lets the player bounce roll float and fly through the world.  Additionally Gumboy can change size shape and material.  Moving through the world with different physical properties and gameplay:  spheres cubes or stars filled with rubber air or water...  Combine these elements with objectives centered on particle effects and control and Gumboy is refreshing challenging and original fun for everyone for all types of gamers.Innovative game based on ball physics in various environmentsOver 50 levels within a fairy-tale atmosphereInteractive environments: water wind rain teleports boosts sticky and slippery surfacesOriginal artistic depiction of 6 various worlds (forest field cave magical world...)Fantastic lighting and dynamic effectsDetailed graphics with acceleration and fascinating particle effectsVarious ball shapes: sphere cube starVarious ball fillings with an influence on its characteristics: rubber air waterSaves games in progress and the results achieved for several playersGame supports widescreen displays (16:9),http://cdn.akamai.steamstatic.com/steam/apps/2520/page_bg_generated_v6b.jpg?t=1470827912
